date,board_name,keyword,product_handle,visual_strategy
2026-07-21,Banheiro organizado,porta papel higienico de parede,porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto,product_full_bleed
2026-07-21,Banheiro organizado,porta papel banheiro moderno,porta-papel-higienico-de-parede-moderno-para-banheiro-dourado,product_full_bleed
2026-07-21,Banheiro organizado,organizador de maquiagem,organizador-de-maquiagem-porta-pincel-em-acrilico-giratorio,environment_full_bleed
2026-07-21,Banheiro organizado,bandeja para banheiro,bandeja-para-banheiro-lavabo-decorativa-redonda-decoracao,environment_title_overlay
2026-07-21,Banheiro organizado,banheiro pequeno organizado,porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto,product_in_environment
2026-07-21,Banheiro organizado,organizacao de banheiro,porta-papel-higienico-de-parede-moderno-para-banheiro-dourado,listicle_idea_overlay
2026-07-22,Tapetes para cozinha,tapete para cozinha,tapete-para-cozinha-antiderrapante-absorvente-nude,product_full_bleed
2026-07-22,Tapetes para cozinha,tapete cozinha bege,tapete-para-cozinha-antiderrapante-absorvente-bege-areia,product_full_bleed
2026-07-22,Tapetes para cozinha,passadeira para cozinha,tapete-para-cozinha-antiderrapante-passadeira-absorvente-bege,environment_full_bleed
2026-07-22,Tapetes para cozinha,tapete antiderrapante para cozinha,tapete-para-cozinha-antiderrapante-absorvente-nude,environment_title_overlay
2026-07-22,Tapetes para cozinha,tapete de cozinha absorvente,tapete-para-cozinha-antiderrapante-absorvente-bege-areia,product_in_environment
2026-07-22,Tapetes para cozinha,cozinha organizada,tapete-para-cozinha-antiderrapante-passadeira-absorvente-bege,listicle_idea_overlay
2026-07-23,Quarto decorado,relogio digital de mesa,relogio-de-mesa-digital-despertador-triangular-bege,product_full_bleed
2026-07-23,Quarto decorado,relogio de mesa led,relogio-digital-de-mesa-despertador-redondo-branco,product_full_bleed
2026-07-23,Quarto decorado,relogio de cabeceira,relogio-de-mesa-digital-carregador-sem-fio-e-luminaria-led-3-em-1,environment_full_bleed
2026-07-23,Quarto decorado,relogio despertador digital,relogio-de-mesa-digital-despertador-triangular-bege,environment_title_overlay
2026-07-23,Quarto decorado,quarto decorado,relogio-digital-de-mesa-despertador-redondo-branco,product_in_environment
2026-07-23,Quarto decorado,mesa de cabeceira organizada,relogio-de-mesa-digital-carregador-sem-fio-e-luminaria-led-3-em-1,listicle_idea_overlay
2026-07-24,Relogios de parede,relogio de parede grande,relogio-de-parede-para-cozinha-sala-grande-decorativo-sofisticado,product_full_bleed
2026-07-24,Relogios de parede,relogio de parede cozinha,relogio-de-parede-para-cozinha-sala-grande-decorativo-decoracao,product_full_bleed
2026-07-24,Relogios de parede,relogio de parede sala,relogio-de-parede-para-cozinha-sala-grande-decorativo-sofisticado,environment_full_bleed
2026-07-24,Relogios de parede,relogio de parede decorativo,relogio-de-parede-para-cozinha-sala-grande-decorativo-decoracao,environment_title_overlay
2026-07-24,Relogios de parede,decoracao de parede,relogio-de-parede-para-cozinha-sala-grande-decorativo-sofisticado,product_in_environment
2026-07-24,Relogios de parede,parede da sala decorada,relogio-de-parede-para-cozinha-sala-grande-decorativo-decoracao,listicle_idea_overlay
2026-07-25,Iluminacao decorativa,arandela de parede,arandela-de-parede-externa-interna-luminaria-led-quadrada-preta,product_full_bleed
2026-07-25,Iluminacao decorativa,lustre pendente,lustre-pendente-para-sala-quarto-cozinha-moderno-led-espiral-dourado,product_full_bleed
2026-07-25,Iluminacao decorativa,luminaria para quarto,luminaria-de-teto-para-sala-quarto-cozinha-em-led-espiral-branca,environment_full_bleed
2026-07-25,Iluminacao decorativa,iluminacao para sala,lustre-pendente-para-sala-quarto-cozinha-moderno-led-espiral-dourado,environment_title_overlay
2026-07-25,Iluminacao decorativa,iluminacao decorativa,arandela-de-parede-externa-interna-luminaria-led-quadrada-preta,product_in_environment
2026-07-25,Iluminacao decorativa,luminaria de teto,luminaria-de-teto-para-sala-quarto-cozinha-em-led-espiral-branca,listicle_idea_overlay
2026-07-26,Sala sofisticada,capa almofada sofa luxo,capa-de-almofada-de-trico-45x45-para-sofa-decorativa-de-luxo,product_full_bleed
2026-07-26,Sala sofisticada,enfeites para o lar,livro-caixa-decorativo-falso-moderno-decoracao-sala,product_full_bleed
2026-07-26,Sala sofisticada,sala de jantar decorada,capa-para-cadeira-de-jantar-impermeavel-curva-decorativa,environment_full_bleed
2026-07-26,Sala sofisticada,sala sofisticada,capa-de-almofada-de-trico-45x45-para-sofa-decorativa-de-luxo,environment_title_overlay
2026-07-26,Sala sofisticada,decoracao de sala,livro-caixa-decorativo-falso-moderno-decoracao-sala,product_in_environment
2026-07-26,Sala sofisticada,decoracao mesa posta,capa-para-cadeira-de-jantar-impermeavel-curva-decorativa,listicle_idea_overlay
